player_id,player_name,player_type,bats,throws,primary_position,role,transition_age,transition_path,kbo_year,kbo_team,kbo_league,kbo_g,kbo_pa,kbo_ab,kbo_ip,kbo_avg,kbo_obp,kbo_slg,kbo_ops,kbo_hr,kbo_sb,kbo_bb,kbo_so,kbo_k_rate,kbo_bb_rate,kbo_iso,kbo_era,kbo_whip,kbo_hr_per_9,kbo_bb_per_9,kbo_k_per_9,kbo_k_bb_ratio,mlb_year,mlb_team,mlb_league,mlb_g,mlb_pa,mlb_ab,mlb_ip,mlb_avg,mlb_obp,mlb_slg,mlb_ops,mlb_hr,mlb_sb,mlb_bb,mlb_so,mlb_k_rate,mlb_bb_rate,mlb_iso,mlb_era,mlb_whip,mlb_hr_per_9,mlb_bb_per_9,mlb_k_per_9,mlb_k_bb_ratio,source_url,source_note
kim-ha-seong,Ha-Seong Kim,hitter,R,R,SS,position_player,25,KBO_MLB,2020,Kiwoom,KBO,138,622,533,,0.306,0.397,0.523,0.921,30,23,75,68,0.1093,0.1206,0.217,,,,,,,2021,SDP,NL,117,298,267,,0.202,0.270,0.352,0.622,8,6,22,71,0.2383,0.0738,0.150,,,,,,,https://www.baseball-reference.com/register/player.fcgi?id=kim---001ha-,Baseball-Reference register row for 2020 KBO and 2021 MLB.
kang-jung-ho,Jung Ho Kang,hitter,R,R,SS/3B,position_player,28,KBO_MLB,2014,Nexen,KBO,117,501,418,,0.356,0.459,0.739,1.198,40,3,68,106,0.2116,0.1357,0.383,,,,,,,2015,PIT,NL,126,467,421,,0.287,0.355,0.461,0.816,15,5,28,99,0.2120,0.0600,0.174,,,,,,,https://www.baseball-reference.com/register/player.fcgi?id=kang--000jeo,Baseball-Reference register row for 2014 KBO and 2015 MLB.
park-byung-ho,Byung Ho Park,hitter,R,R,1B/DH,position_player,29,KBO_MLB,2015,Nexen,KBO,140,622,528,,0.343,0.436,0.714,1.150,53,10,78,161,0.2588,0.1254,0.371,,,,,,,2016,MIN,AL,62,244,215,,0.191,0.275,0.409,0.684,12,1,21,80,0.3279,0.0861,0.218,,,,,,,https://www.baseball-reference.com/register/player.fcgi?id=park--000byu,Baseball-Reference register row for 2015 KBO and 2016 MLB.
thames-eric,Eric Thames,hitter,L,R,1B/OF,position_player,30,KBO_MLB,2016,NC,KBO,123,529,436,,0.321,0.427,0.679,1.106,40,13,74,103,0.1947,0.1399,0.358,,,,,,,2017,MIL,NL,138,551,469,,0.247,0.359,0.518,0.877,31,4,75,163,0.2958,0.1361,0.271,,,,,,,https://www.baseball-reference.com/register/player.fcgi?id=thames001eri,Baseball-Reference register row for 2016 KBO and 2017 MLB.
ryu-hyun-jin,Hyun Jin Ryu,pitcher,R,L,SP,starter,26,KBO_MLB,2012,Hanwha,KBO,27,,,182.2,,,,,,,,,,,,2.66,1.089,0.6,2.3,10.3,4.57,2013,LAD,NL,30,,,192.0,,,,,,,,,,,,3.00,1.203,0.7,2.3,7.2,3.14,https://www.baseball-reference.com/register/player.fcgi?id=ryu---000hye,Baseball-Reference register row for 2012 KBO and 2013 MLB.
kelly-merrill,Merrill Kelly,pitcher,R,R,SP,starter,30,KBO_MLB,2018,SK,KBO,28,,,158.1,,,,,,,,,,,,4.09,1.257,1.0,2.7,9.2,3.43,2019,ARI,NL,32,,,183.1,,,,,,,,,,,,4.42,1.315,1.4,2.8,7.8,2.77,https://www.baseball-reference.com/register/player.fcgi?id=kelly-003ken,Baseball-Reference register row for 2018 KBO and 2019 MLB.
lindblom-josh,Josh Lindblom,pitcher,R,R,SP,starter,33,KBO_MLB,2019,Doosan,KBO,30,,,194.2,,,,,,,,,,,,2.50,0.997,0.6,1.3,8.7,6.52,2020,MIL,NL,12,,,45.1,,,,,,,,,,,,5.16,1.279,1.2,3.2,10.3,3.25,https://www.baseball-reference.com/register/player.fcgi?id=lindbl001jos,Baseball-Reference register row for 2019 KBO and 2020 MLB.
yang-hyeon-jong,Hyeon-Jong Yang,pitcher,L,L,SP,starter,33,KBO_MLB,2019,KIA,KBO,29,,,184.2,,,,,,,,,,,,2.29,1.072,0.3,1.6,7.9,4.94,2021,TEX,AL,12,,,35.1,,,,,,,,,,,,5.60,1.642,2.3,4.1,6.4,1.56,https://www.baseball-reference.com/register/player.fcgi?id=yang--000hye,2019 KBO leader row plus Baseball-Reference/MLB.com 2021 MLB row.
oh-seung-hwan,Seunghwan Oh,pitcher,R,R,RP,reliever,33,KBO_NPB_MLB,2013,Samsung,KBO,48,,,51.2,,,,,,,,,,,,1.74,0.832,0.7,1.7,9.4,5.40,2016,STL,NL,76,,,79.2,,,,,,,,,,,,1.92,0.920,0.6,2.0,11.6,5.72,https://www.baseball-reference.com/register/player.fcgi?id=oh----000seu,Last KBO season before two NPB years; MLB row from 2016 St. Louis season.
